video_id,user_id,username,hashtag
7649097592365780242,7082479420259599365,jhonatanjutinico6,cepedapresidente2026
7649097592365780242,7082479420259599365,jhonatanjutinico6,petropresidente
7649097592365780242,7082479420259599365,jhonatanjutinico6,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
7649097592365780242,7082479420259599365,jhonatanjutinico6,abelardodelaespriella
7652594195017813255,6914091165360931846,alfdani_,petro
7652594195017813255,6914091165360931846,alfdani_,cepedapresidente
7652594195017813255,6914091165360931846,alfdani_,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
7648020728482172167,6885789794028553221,camilagomez308,cepedapresidente
7648020728482172167,6885789794028553221,camilagomez308,petro
7648020728482172167,6885789794028553221,camilagomez308,viral
7648020728482172167,6885789794028553221,camilagomez308,ex
7648020728482172167,6885789794028553221,camilagomez308,amores
7646467261267643669,7609443416850547719,nikolquintero69,cepedapresidente
7650183357019589895,7359227844151002117,mr.x.noticias,noticias
7650183357019589895,7359227844151002117,mr.x.noticias,guerrilleronomerepresentacomocolombiano
7646700843495869714,7305200464516285446,lucynormal,fypシ
7646700843495869714,7305200464516285446,lucynormal,solocepedaenestamondá
7646700843495869714,7305200464516285446,lucynormal,sigamonos
7601868459865148693,7036542940512191494,jacardo01,nomás
7601868459865148693,7036542940512191494,jacardo01,defensoresdelapatria
7543785066288123142,7423472574787798021,elgatonegro141,humor
7590800217918803220,7346384996120675333,ytam64,colombia
7590800217918803220,7346384996120675333,ytam64,politica
7590800217918803220,7346384996120675333,ytam64,corrupcion
7590800217918803220,7346384996120675333,ytam64,noticias
7590800217918803220,7346384996120675333,ytam64,noticiastiktok
7648760316473511176,7388624456627356678,lacuchy30,musicadespecho
7648760316473511176,7388624456627356678,lacuchy30,despecho
7648760316473511176,7388624456627356678,lacuchy30,cerveza
7648760316473511176,7388624456627356678,lacuchy30,guaro
7648760316473511176,7388624456627356678,lacuchy30,petro
7611619973999398152,6902414510028702721,martinezangie_2,colombia
7611619973999398152,6902414510028702721,martinezangie_2,izquierda
7611619973999398152,6902414510028702721,martinezangie_2,viral
7611619973999398152,6902414510028702721,martinezangie_2,fyp
7611619973999398152,6902414510028702721,martinezangie_2,derecha
7616593698251410706,7529738932554286097,samy_sy10,uribe
7616593698251410706,7529738932554286097,samy_sy10,derecha
7653096598196587796,124108290564788224,sharonsanabria2,cepedapresidente
7647602024627932423,6723636276711867394,feelingcolina,ivancepeda
7647602024627932423,6723636276711867394,feelingcolina,pactohistorico
7647602024627932423,6723636276711867394,feelingcolina,elecciones2026
7647602024627932423,6723636276711867394,feelingcolina,parati
7647602024627932423,6723636276711867394,feelingcolina,petro
7633044974292061447,7073918952598340614,fabiansvsf,cauca
7649560410114329874,6898054179219735558,i_am.ale,cepeda
7649560410114329874,6898054179219735558,i_am.ale,bts
7649560410114329874,6898054179219735558,i_am.ale,colombia
7649560410114329874,6898054179219735558,i_am.ale,army
7649560410114329874,6898054179219735558,i_am.ale,corea
7646853544854834450,163156486943158272,carol_2..1,cepedapresidente2026
7646853544854834450,163156486943158272,carol_2..1,colombia🇨🇴
7574157991184764182,7465545599674352672,lorena.ferrari60,petro
7574157991184764182,7465545599674352672,lorena.ferrari60,petropresidente🇨🇴
7574157991184764182,7465545599674352672,lorena.ferrari60,petropresidente
7574157991184764182,7465545599674352672,lorena.ferrari60,petropresidente2022
7574157991184764182,7465545599674352672,lorena.ferrari60,franciamarquez
7652130222401260807,6657162079063785477,el.flaconea,colombia
7652130222401260807,6657162079063785477,el.flaconea,cepedapresidente
7649083203336031508,6800140256281920517,karen162205,melajuegoporlavida
7649083203336031508,6800140256281920517,karen162205,ivancepedapresidente
7649083203336031508,6800140256281920517,karen162205,democracia
7649083203336031508,6800140256281920517,karen162205,pactohistorico
7652909617474833682,6924009007305638917,24maryangie,cepedapresidente
7652909617474833682,6924009007305638917,24maryangie,pactohistórico
7652909617474833682,6924009007305638917,24maryangie,melajuegoporlavida
7651721580401151252,6992225461372584965,stidtorres29,ivancepedapresidente
7651721580401151252,6992225461372584965,stidtorres29,cepeda
7651721580401151252,6992225461372584965,stidtorres29,petro
7651721580401151252,6992225461372584965,stidtorres29,firmeporlapatria
